marca,ano,qtd_nucleos,qtd_threads,ram,gpu_dedicada,ram_gpu,entradas_usb,duracao_bateria,resolucao_tela,tipo_tela,tela_touch,armazenamento_hdd,armazenamento_ssd,segmento
lenovo,2010,12,13,16,sim,6,3,112,4K,AMOLED,não,500,2000,jogos_premium
lenovo,2013,2,2,8,não,0,2,491,FULLHD,IPS,sim,500,250,2em1
hp,2013,4,5,12,sim,2,3,157,FULLHD,VA,não,1000,2000,jogos_entrada
razer,2012,6,10,8,não,0,2,445,4K,AMOLED,não,500,250,premium
samsung,2023,10,16,8,não,0,2,561,QUADHD,IPS,sim,0,2000,premium
positivo,2013,6,8,2,não,0,1,160,HD,TN,não,1000,0,entrada
lenovo,2017,10,11,2,não,0,3,240,FULLHD,AMOLED,sim,0,2000,2em1
asus,2013,2,4,16,não,0,4,576,HD,OLED,não,250,0,intermediario
razer,2017,6,11,32,sim,6,2,114,QUADHD,OLED,não,0,2000,jogos_premium
hp,2022,4,4,12,sim,4,4,177,FULLHD,TN,não,0,500,jogos_entrada
hp,2021,10,15,12,sim,6,4,169,QUADHD,VA,não,0,250,jogos_intermediarios
acer,2020,4,8,12,não,0,2,572,FULLHD,TN,não,0,500,ultraportatil
apple,2018,6,7,8,não,0,3,494,FULLHD,AMOLED,não,0,2000,premium
acer,2013,2,4,12,não,0,3,50,FULLHD,AMOLED,sim,0,250,2em1
samsung,2018,4,5,32,não,0,3,500,FULLHD,TN,não,0,500,ultraportatil
dell,2021,8,15,8,sim,4,4,117,FULLHD,VA,não,0,2000,jogos_entrada
lenovo,2022,10,15,64,não,0,3,287,FULLHD,IPS,sim,0,500,2em1
apple,2014,4,5,16,não,0,2,449,4K,AMOLED,não,500,250,premium
apple,2022,4,5,16,não,0,2,543,FULLHD,AMOLED,não,0,250,premium
samsung,2017,6,9,64,não,0,2,119,FULLHD,IPS,sim,0,250,2em1
xiaomi,2020,10,12,16,não,0,2,591,4K,AMOLED,não,0,500,premium
dell,2017,4,4,4,não,0,4,486,HD,IPS,não,250,0,entrada
asus,2023,4,6,16,não,0,3,442,4K,IPS,sim,0,2000,premium
apple,2019,6,9,16,não,0,2,580,QUADHD,AMOLED,não,0,2000,premium
razer,2019,4,4,8,não,0,3,538,4K,OLED,não,0,250,premium
razer,2013,4,8,32,sim,6,4,174,QUADHD,OLED,não,250,1000,jogos_premium
huawei,2016,10,20,16,não,0,3,456,QUADHD,OLED,não,0,250,premium
positivo,2023,4,6,4,não,0,4,65,HD,TN,não,250,250,entrada
huawei,2023,8,13,16,não,0,2,484,FULLHD,OLED,não,0,1000,premium
lenovo,2016,10,11,8,não,0,2,548,4K,AMOLED,não,0,1000,premium
apple,2011,6,6,16,não,0,3,464,QUADHD,AMOLED,não,2000,250,premium
lenovo,2015,4,5,16,sim,6,1,194,4K,OLED,não,0,2000,jogos_premium
hp,2015,10,18,16,sim,6,2,123,FULLHD,OLED,não,0,1000,jogos_intermediarios
huawei,2011,12,12,8,não,0,3,443,QUADHD,AMOLED,não,500,250,premium
huawei,2014,6,11,16,não,0,3,537,FULLHD,OLED,não,250,250,premium
hp,2019,8,13,8,sim,2,4,173,FULLHD,TN,não,0,2000,jogos_entrada
acer,2023,6,6,8,sim,4,4,117,FULLHD,OLED,não,0,1000,jogos_entrada
asus,2014,10,11,32,não,0,3,249,FULLHD,IPS,sim,2000,250,2em1
razer,2012,6,9,8,não,0,2,455,4K,AMOLED,não,2000,250,premium
apple,2023,8,15,8,não,0,2,512,4K,OLED,não,0,250,premium
xiaomi,2022,8,16,16,não,0,2,522,FULLHD,OLED,não,0,2000,premium
hp,2019,12,21,32,não,0,3,588,FULLHD,VA,não,0,250,ultraportatil
huawei,2022,10,15,16,não,0,3,514,4K,AMOLED,não,0,2000,premium
positivo,2013,6,7,6,não,0,4,178,HD,IPS,não,500,0,entrada
apple,2015,8,15,16,não,0,2,479,QUADHD,AMOLED,não,0,250,premium
dell,2013,2,2,4,não,0,3,589,FULLHD,VA,não,1000,500,ultraportatil
lenovo,2021,10,17,2,não,0,2,539,FULLHD,OLED,não,0,250,ultraportatil
positivo,2017,10,16,6,não,0,1,222,HD,TN,não,250,0,entrada
asus,2023,12,15,32,não,0,4,463,HD,VA,não,0,1000,intermediario
hp,2015,4,8,6,não,0,3,509,FULLHD,IPS,não,0,250,ultraportatil
apple,2014,4,8,16,não,0,2,432,FULLHD,OLED,não,2000,250,premium
asus,2022,8,10,32,não,0,2,169,FULLHD,IPS,sim,0,1000,2em1
apple,2012,4,8,16,não,0,2,421,4K,OLED,não,0,250,premium
apple,2017,4,4,8,não,0,2,452,FULLHD,AMOLED,não,0,2000,premium
samsung,2017,12,14,16,não,0,2,461,4K,IPS,sim,0,250,premium
asus,2011,2,3,4,não,0,2,372,FULLHD,IPS,sim,2000,250,2em1
positivo,2011,2,4,16,não,0,2,166,HD,TN,não,1000,0,entrada
huawei,2013,6,6,16,não,0,3,465,QUADHD,AMOLED,não,0,250,premium
hp,2012,2,3,8,sim,2,2,87,FULLHD,IPS,não,0,250,jogos_entrada
positivo,2018,6,6,6,não,0,3,180,HD,TN,não,0,2000,entrada
positivo,2014,4,7,16,não,0,3,295,HD,IPS,não,2000,0,entrada
hp,2013,6,8,12,sim,4,2,145,FULLHD,IPS,não,500,500,jogos_entrada
acer,2015,8,10,8,não,0,2,260,FULLHD,IPS,sim,0,250,2em1
positivo,2019,4,5,12,não,0,3,175,HD,IPS,não,250,0,entrada
asus,2012,6,10,8,não,0,2,530,FULLHD,VA,não,0,250,ultraportatil
positivo,2013,2,2,4,não,0,1,235,HD,IPS,não,0,1000,entrada
razer,2018,8,9,8,não,0,2,554,4K,OLED,não,0,500,premium
razer,2021,6,9,8,não,0,2,402,FULLHD,AMOLED,não,0,250,premium
razer,2017,8,16,16,sim,6,2,59,QUADHD,AMOLED,não,0,250,jogos_premium
hp,2021,10,10,12,sim,6,4,127,4K,OLED,não,0,2000,jogos_intermediarios
apple,2018,12,17,8,não,0,2,470,QUADHD,OLED,não,0,1000,premium
asus,2023,12,23,16,não,0,3,320,HD,IPS,não,0,500,entrada
huawei,2018,4,8,8,não,0,2,552,FULLHD,OLED,não,0,2000,premium
samsung,2023,4,5,16,sim,6,4,56,QUADHD,TN,não,0,1000,jogos_intermediarios
positivo,2012,2,3,2,não,0,4,52,HD,TN,não,250,0,entrada
apple,2023,12,16,16,não,0,2,424,QUADHD,OLED,não,0,250,premium
acer,2021,6,8,12,não,0,2,212,FULLHD,IPS,sim,0,250,2em1
samsung,2018,4,5,16,sim,6,1,90,QUADHD,AMOLED,não,0,2000,jogos_premium
dell,2019,10,19,16,não,0,2,596,FULLHD,VA,não,0,250,ultraportatil
xiaomi,2011,10,12,16,não,0,3,483,4K,OLED,não,1000,250,premium
hp,2014,4,7,16,sim,6,1,39,4K,IPS,não,2000,500,jogos_intermediarios
huawei,2017,6,10,16,não,0,2,586,QUADHD,OLED,não,0,1000,premium
razer,2011,6,12,32,sim,6,1,136,4K,AMOLED,não,2000,250,jogos_premium
huawei,2021,4,4,16,não,0,3,431,FULLHD,AMOLED,não,0,2000,premium
apple,2019,10,16,8,não,0,2,430,FULLHD,AMOLED,não,0,250,premium
razer,2011,6,11,32,sim,6,1,196,QUADHD,OLED,não,250,250,jogos_premium
razer,2017,10,17,8,não,0,3,577,QUADHD,AMOLED,não,0,250,premium
razer,2016,8,15,16,não,0,3,478,FULLHD,AMOLED,não,0,1000,premium
acer,2023,4,5,12,não,0,3,593,FULLHD,IPS,não,0,250,ultraportatil
huawei,2012,8,12,16,não,0,2,400,4K,OLED,não,500,250,premium
samsung,2014,4,4,2,não,0,3,509,HD,OLED,não,250,0,intermediario
samsung,2020,4,6,16,sim,6,4,195,4K,OLED,não,0,500,jogos_premium
samsung,2019,6,11,12,sim,2,4,170,FULLHD,VA,não,0,250,jogos_entrada
apple,2020,4,4,16,não,0,2,431,4K,AMOLED,não,0,2000,premium
samsung,2018,4,8,16,não,0,3,426,QUADHD,AMOLED,não,0,2000,premium
razer,2021,8,9,32,sim,6,4,108,FULLHD,AMOLED,não,0,2000,jogos_premium
positivo,2012,2,2,6,não,0,2,211,HD,TN,não,1000,0,entrada
hp,2018,8,12,12,sim,2,3,44,FULLHD,IPS,não,0,250,jogos_entrada
asus,2023,6,12,12,não,0,2,535,HD,IPS,não,0,1000,intermediario
razer,2019,10,14,16,não,0,2,471,FULLHD,OLED,não,0,2000,premium
positivo,2020,10,15,16,não,0,1,165,HD,IPS,não,500,0,entrada
hp,2020,10,19,12,sim,6,4,181,QUADHD,IPS,não,0,250,jogos_intermediarios
positivo,2019,12,22,2,não,0,4,37,HD,TN,não,500,0,entrada
hp,2017,8,11,12,sim,4,2,89,FULLHD,TN,não,0,1000,jogos_entrada
asus,2019,8,12,4,não,0,3,231,FULLHD,IPS,sim,0,250,2em1
xiaomi,2012,6,6,8,não,0,2,445,4K,AMOLED,não,1000,250,premium
asus,2022,8,12,8,não,0,4,308,HD,IPS,não,500,500,entrada
positivo,2022,6,11,64,não,0,3,249,HD,IPS,não,1000,500,entrada
apple,2015,12,18,8,não,0,3,439,QUADHD,OLED,não,0,2000,premium
dell,2015,10,11,6,não,0,2,518,FULLHD,VA,não,0,250,ultraportatil
huawei,2011,8,10,8,não,0,3,492,FULLHD,AMOLED,não,1000,250,premium
hp,2010,4,8,2,não,0,2,586,FULLHD,TN,não,0,250,ultraportatil
razer,2011,10,12,16,sim,6,3,99,QUADHD,OLED,não,0,500,jogos_premium
samsung,2010,6,10,12,não,0,4,500,HD,VA,não,1000,0,intermediario
huawei,2015,4,7,16,não,0,2,412,FULLHD,AMOLED,não,0,250,premium
asus,2017,4,7,16,não,0,3,482,HD,IPS,não,0,250,entrada
lenovo,2022,4,4,8,não,0,2,521,4K,AMOLED,não,0,250,premium
acer,2021,4,5,4,não,0,3,596,HD,TN,não,0,500,entrada
hp,2013,6,10,4,não,0,3,572,FULLHD,OLED,não,2000,125,ultraportatil
hp,2016,8,10,12,sim,4,3,84,4K,VA,não,0,2000,jogos_intermediarios
dell,2018,8,13,16,não,0,3,590,4K,OLED,não,0,2000,premium
apple,2021,4,5,16,não,0,2,401,FULLHD,OLED,não,0,500,premium
samsung,2020,8,10,8,sim,2,4,112,FULLHD,VA,não,0,250,jogos_entrada
samsung,2018,10,20,4,não,0,3,460,FULLHD,IPS,sim,0,250,2em1
huawei,2016,12,18,16,não,0,2,512,QUADHD,AMOLED,não,0,250,premium
lenovo,2015,6,10,2,não,0,2,322,FULLHD,IPS,sim,0,250,2em1
apple,2022,10,11,16,não,0,2,455,FULLHD,AMOLED,não,0,250,premium
dell,2014,10,19,12,sim,2,4,67,FULLHD,OLED,não,500,2000,jogos_entrada
xiaomi,2020,8,16,8,não,0,2,424,4K,AMOLED,não,0,1000,premium
acer,2013,2,4,4,não,0,3,310,HD,TN,não,0,1000,intermediario
huawei,2022,8,11,16,não,0,3,523,FULLHD,OLED,não,0,500,premium
acer,2018,4,6,8,não,0,3,475,FULLHD,IPS,sim,0,250,2em1
asus,2013,4,4,12,não,0,1,312,HD,TN,não,2000,0,entrada
asus,2013,2,2,4,não,0,2,558,FULLHD,AMOLED,sim,1000,250,2em1
samsung,2012,4,8,32,sim,6,3,89,FULLHD,OLED,não,0,250,jogos_premium
positivo,2019,8,14,12,não,0,2,81,HD,IPS,não,0,1000,entrada
xiaomi,2022,12,12,16,não,0,3,454,4K,OLED,não,0,250,premium
dell,2010,2,3,12,sim,2,3,128,FULLHD,VA,não,500,500,jogos_entrada
acer,2015,10,14,12,não,0,2,505,FULLHD,OLED,não,0,1000,ultraportatil
razer,2012,10,14,16,não,0,2,562,FULLHD,AMOLED,não,2000,250,premium
apple,2013,12,22,8,não,0,2,596,FULLHD,OLED,não,250,250,premium
dell,2011,2,4,8,sim,2,1,107,FULLHD,IPS,não,2000,250,jogos_entrada
lenovo,2015,10,11,32,não,0,2,559,FULLHD,OLED,não,0,1000,ultraportatil
acer,2011,2,4,2,não,0,2,97,HD,TN,não,2000,0,entrada
huawei,2010,12,16,8,não,0,2,600,4K,AMOLED,não,0,2000,premium
positivo,2021,4,5,64,não,0,2,237,HD,IPS,não,500,0,entrada
positivo,2018,8,13,12,não,0,4,128,HD,IPS,não,0,250,entrada
samsung,2012,2,4,6,não,0,2,595,FULLHD,IPS,não,1000,250,ultraportatil
huawei,2013,8,13,16,não,0,2,557,FULLHD,AMOLED,não,0,250,premium
samsung,2013,2,4,6,não,0,3,551,FULLHD,TN,não,500,125,ultraportatil
dell,2022,12,22,4,não,0,2,201,FULLHD,IPS,sim,0,500,2em1
dell,2014,6,9,4,não,0,1,257,HD,TN,não,500,0,entrada
razer,2021,8,15,16,sim,6,4,129,FULLHD,OLED,não,0,2000,jogos_premium
xiaomi,2016,4,6,8,não,0,2,455,QUADHD,OLED,não,0,1000,premium
apple,2012,4,7,8,não,0,3,411,4K,AMOLED,não,500,250,premium
samsung,2010,6,12,8,sim,2,3,47,FULLHD,OLED,não,500,500,jogos_entrada
acer,2019,4,4,8,não,0,4,484,HD,TN,não,2000,0,intermediario
apple,2023,12,12,16,não,0,2,559,4K,OLED,não,0,250,premium
apple,2019,4,7,16,não,0,2,578,4K,AMOLED,não,0,500,premium
apple,2015,8,8,16,não,0,2,599,FULLHD,OLED,não,0,500,premium
apple,2017,12,14,8,não,0,3,416,FULLHD,OLED,não,0,500,premium
samsung,2019,6,7,4,não,0,2,522,FULLHD,OLED,não,0,250,ultraportatil
acer,2023,6,12,12,não,0,2,573,FULLHD,TN,não,0,250,ultraportatil
asus,2010,2,2,12,não,0,3,369,HD,IPS,não,0,2000,entrada
asus,2014,6,7,32,não,0,2,98,FULLHD,AMOLED,sim,250,250,2em1
huawei,2013,8,13,8,não,0,3,432,4K,AMOLED,não,2000,250,premium
xiaomi,2018,10,11,8,não,0,2,555,FULLHD,AMOLED,não,0,2000,premium
apple,2022,12,21,16,não,0,2,581,4K,OLED,não,0,500,premium
positivo,2010,2,2,12,não,0,2,72,HD,TN,não,1000,0,entrada
hp,2013,4,6,12,sim,2,1,158,FULLHD,TN,não,0,250,jogos_entrada
asus,2017,4,4,12,não,0,2,89,FULLHD,AMOLED,sim,0,2000,2em1
samsung,2016,4,5,4,não,0,2,310,FULLHD,IPS,sim,0,250,2em1
samsung,2017,6,10,32,não,0,1,413,HD,IPS,não,500,0,intermediario
apple,2014,4,7,8,não,0,3,535,FULLHD,OLED,não,1000,250,premium
acer,2019,12,19,8,sim,4,4,187,FULLHD,OLED,não,0,250,jogos_entrada
positivo,2020,4,5,8,não,0,3,188,HD,IPS,não,500,0,entrada
acer,2014,6,9,16,sim,6,3,106,4K,OLED,não,250,500,jogos_intermediarios
asus,2021,8,16,8,não,0,2,513,FULLHD,AMOLED,não,0,500,premium
apple,2022,4,7,16,não,0,2,562,4K,OLED,não,0,1000,premium
huawei,2016,10,14,16,não,0,2,483,QUADHD,OLED,não,0,2000,premium
xiaomi,2016,10,12,8,não,0,2,588,4K,AMOLED,não,0,2000,premium
lenovo,2012,4,5,4,não,0,2,572,FULLHD,VA,não,250,1000,ultraportatil
samsung,2022,10,10,32,sim,6,4,152,QUADHD,OLED,não,0,250,jogos_premium
asus,2016,8,16,6,não,0,3,561,HD,IPS,não,0,1000,entrada
dell,2023,12,17,16,não,0,2,300,HD,IPS,não,250,250,entrada
samsung,2022,10,13,8,não,0,2,564,4K,IPS,sim,0,250,premium
asus,2014,8,15,6,não,0,1,153,HD,IPS,não,1000,0,entrada
lenovo,2019,4,6,8,sim,2,4,32,FULLHD,OLED,não,0,1000,jogos_entrada
razer,2018,4,8,16,não,0,3,503,QUADHD,OLED,não,0,250,premium
huawei,2010,12,12,8,não,0,2,482,QUADHD,AMOLED,não,500,250,premium
hp,2013,4,4,8,sim,4,1,32,FULLHD,TN,não,2000,2000,jogos_entrada
samsung,2010,2,4,16,não,0,3,98,HD,OLED,não,0,250,intermediario
acer,2019,8,16,8,sim,2,4,41,FULLHD,IPS,não,0,250,jogos_entrada
huawei,2013,10,19,8,não,0,2,405,QUADHD,OLED,não,500,250,premium
positivo,2017,4,4,6,não,0,3,203,HD,TN,não,1000,0,entrada
positivo,2018,4,7,12,não,0,3,117,HD,IPS,não,250,0,entrada
huawei,2022,4,6,16,não,0,2,444,FULLHD,OLED,não,0,500,premium
huawei,2022,6,7,16,não,0,3,496,FULLHD,OLED,não,0,2000,premium
xiaomi,2012,8,16,8,não,0,3,491,FULLHD,OLED,não,2000,250,premium
xiaomi,2020,4,6,16,não,0,2,535,QUADHD,AMOLED,não,0,250,premium
positivo,2012,6,8,4,não,0,3,196,HD,IPS,não,2000,0,entrada
dell,2020,4,4,12,sim,4,4,115,FULLHD,IPS,não,0,250,jogos_intermediarios
xiaomi,2020,6,9,8,não,0,2,586,4K,AMOLED,não,0,250,premium
dell,2023,4,5,32,sim,6,4,146,4K,OLED,não,0,250,jogos_premium
huawei,2019,12,23,8,não,0,3,561,FULLHD,AMOLED,não,0,2000,premium
positivo,2016,4,6,8,não,0,1,81,HD,TN,não,250,0,entrada
positivo,2019,10,10,12,não,0,4,290,HD,TN,não,500,0,entrada
xiaomi,2021,12,21,8,não,0,2,429,QUADHD,AMOLED,não,0,500,premium
acer,2018,8,9,6,não,0,4,169,HD,VA,não,0,500,intermediario
xiaomi,2014,4,6,16,não,0,3,571,QUADHD,OLED,não,0,2000,premium
samsung,2011,8,12,32,sim,6,4,37,4K,AMOLED,não,250,500,jogos_premium
lenovo,2015,10,16,2,não,0,2,374,HD,IPS,não,2000,0,intermediario
apple,2015,4,7,8,não,0,3,453,4K,AMOLED,não,0,250,premium
razer,2022,12,13,8,não,0,3,515,4K,AMOLED,não,0,2000,premium
acer,2012,4,4,2,não,0,1,581,HD,IPS,não,500,0,intermediario
apple,2010,10,20,8,não,0,3,487,QUADHD,OLED,não,2000,250,premium
lenovo,2012,4,7,2,não,0,3,591,FULLHD,VA,não,0,1000,ultraportatil
hp,2012,4,5,12,sim,4,1,161,QUADHD,IPS,não,2000,2000,jogos_intermediarios
lenovo,2014,4,4,16,não,0,3,461,4K,OLED,não,500,250,premium
huawei,2023,6,8,8,não,0,3,442,QUADHD,AMOLED,não,0,2000,premium
apple,2013,12,17,8,não,0,3,458,4K,AMOLED,não,500,250,premium
lenovo,2010,4,6,2,não,0,3,565,FULLHD,IPS,não,500,125,ultraportatil
hp,2018,8,10,64,não,0,2,548,FULLHD,IPS,não,0,2000,ultraportatil
hp,2022,4,8,6,não,0,3,548,FULLHD,OLED,não,0,250,ultraportatil
samsung,2020,8,12,16,não,0,3,422,4K,AMOLED,não,0,250,premium
positivo,2021,8,15,6,não,0,2,112,HD,TN,não,0,500,entrada
xiaomi,2011,12,16,16,não,0,2,436,4K,OLED,não,250,250,premium
huawei,2013,6,11,16,não,0,3,484,QUADHD,AMOLED,não,2000,250,premium
xiaomi,2021,12,21,8,não,0,2,575,QUADHD,AMOLED,não,0,2000,premium
apple,2013,8,9,16,não,0,2,413,FULLHD,OLED,não,500,250,premium
positivo,2012,6,11,12,não,0,3,291,HD,TN,não,0,500,entrada
razer,2013,12,17,8,não,0,3,579,4K,OLED,não,2000,250,premium
positivo,2014,10,18,6,não,0,1,283,HD,TN,não,250,0,entrada
apple,2023,8,8,16,não,0,2,451,QUADHD,OLED,não,0,250,premium
dell,2018,8,8,6,não,0,2,447,FULLHD,IPS,sim,0,250,2em1
lenovo,2018,10,20,8,não,0,3,434,4K,AMOLED,não,0,250,premium
samsung,2019,4,6,12,não,0,3,593,FULLHD,IPS,não,0,250,ultraportatil
razer,2021,6,9,16,não,0,3,567,FULLHD,OLED,não,0,250,premium
lenovo,2015,10,14,16,não,0,3,579,FULLHD,IPS,sim,0,500,2em1
xiaomi,2019,8,8,16,não,0,3,515,FULLHD,AMOLED,não,0,1000,premium
huawei,2010,10,17,8,não,0,2,472,4K,OLED,não,2000,250,premium
asus,2022,4,4,32,não,0,3,597,FULLHD,IPS,não,0,250,ultraportatil
hp,2023,10,11,32,não,0,2,537,FULLHD,TN,não,0,2000,ultraportatil
xiaomi,2017,10,10,8,não,0,3,472,QUADHD,OLED,não,0,250,premium
hp,2022,8,13,12,sim,2,4,54,FULLHD,OLED,não,0,1000,jogos_entrada
positivo,2020,8,16,64,não,0,4,242,HD,TN,não,500,0,entrada
samsung,2013,8,8,16,sim,4,1,158,FULLHD,TN,não,0,250,jogos_intermediarios
acer,2016,6,8,16,não,0,3,598,4K,OLED,não,0,2000,premium
razer,2016,10,19,16,não,0,3,447,FULLHD,OLED,não,0,250,premium
dell,2010,4,4,4,não,0,2,90,FULLHD,AMOLED,sim,250,250,2em1
asus,2022,6,9,6,não,0,4,109,HD,IPS,não,1000,125,entrada
huawei,2016,8,13,16,não,0,2,443,4K,OLED,não,0,1000,premium
hp,2020,6,6,12,sim,2,4,32,FULLHD,VA,não,0,250,jogos_entrada
samsung,2023,10,18,8,sim,4,4,94,FULLHD,TN,não,0,250,jogos_entrada
lenovo,2013,10,19,16,não,0,2,452,QUADHD,OLED,não,250,250,premium
xiaomi,2023,4,6,16,não,0,3,591,FULLHD,AMOLED,não,0,500,premium
razer,2014,10,16,8,não,0,2,442,4K,OLED,não,1000,250,premium
huawei,2018,4,6,8,não,0,3,507,4K,AMOLED,não,0,500,premium
dell,2016,6,9,12,sim,2,3,134,FULLHD,VA,não,0,1000,jogos_entrada
asus,2010,6,8,8,não,0,2,553,FULLHD,OLED,não,250,125,ultraportatil
hp,2019,10,16,12,não,0,2,507,FULLHD,OLED,não,0,250,ultraportatil
hp,2015,10,12,32,não,0,3,540,FULLHD,VA,não,0,250,ultraportatil
apple,2020,6,12,16,não,0,2,565,4K,AMOLED,não,0,1000,premium
positivo,2011,6,9,6,não,0,1,136,HD,TN,não,1000,0,entrada
razer,2011,4,8,8,não,0,3,458,FULLHD,AMOLED,não,500,250,premium
positivo,2018,6,12,64,não,0,3,161,HD,IPS,não,500,0,entrada
acer,2020,8,9,8,sim,4,4,87,FULLHD,VA,não,0,250,jogos_entrada
lenovo,2023,12,24,2,não,0,2,543,FULLHD,IPS,sim,0,250,2em1
lenovo,2016,10,17,16,não,0,3,457,HD,IPS,não,250,0,entrada
acer,2013,12,21,16,sim,4,4,171,FULLHD,TN,não,250,1000,jogos_intermediarios
hp,2016,8,8,16,sim,6,1,140,QUADHD,VA,não,0,250,jogos_intermediarios
dell,2011,4,6,8,não,0,2,443,HD,VA,não,500,0,intermediario
apple,2011,10,14,8,não,0,3,409,QUADHD,OLED,não,500,250,premium
apple,2018,8,16,16,não,0,2,444,4K,OLED,não,0,250,premium
positivo,2013,2,2,8,não,0,1,209,HD,IPS,não,2000,0,entrada
huawei,2022,10,14,16,não,0,2,523,FULLHD,AMOLED,não,0,1000,premium
apple,2010,12,20,8,não,0,3,510,FULLHD,OLED,não,1000,250,premium
positivo,2015,6,11,12,não,0,1,251,HD,IPS,não,250,0,entrada
apple,2023,4,4,8,não,0,2,569,4K,AMOLED,não,0,250,premium
samsung,2019,12,19,64,não,0,4,275,HD,TN,não,250,0,entrada
asus,2014,4,7,8,não,0,2,267,HD,TN,não,500,0,entrada
razer,2010,6,10,16,sim,6,2,139,4K,AMOLED,não,0,250,jogos_premium
hp,2017,6,10,12,sim,2,4,178,FULLHD,VA,não,0,250,jogos_entrada
samsung,2020,12,12,2,não,0,3,474,FULLHD,AMOLED,sim,0,250,2em1
samsung,2022,12,14,12,não,0,2,521,FULLHD,OLED,não,0,2000,ultraportatil
razer,2016,12,21,32,sim,6,4,85,QUADHD,OLED,não,0,2000,jogos_premium
huawei,2017,12,17,8,não,0,3,444,FULLHD,OLED,não,0,250,premium
hp,2011,4,7,12,não,0,3,524,FULLHD,IPS,não,500,1000,ultraportatil
razer,2020,12,24,8,não,0,3,560,QUADHD,AMOLED,não,0,250,premium
lenovo,2013,4,5,2,não,0,2,517,FULLHD,IPS,não,250,1000,ultraportatil
asus,2015,4,6,12,não,0,2,264,HD,IPS,não,250,0,entrada
asus,2013,6,11,8,não,0,2,545,FULLHD,VA,não,0,500,ultraportatil
positivo,2018,6,8,6,não,0,4,192,HD,TN,não,250,0,entrada
asus,2014,10,16,4,não,0,3,569,FULLHD,IPS,sim,500,250,2em1
samsung,2017,10,19,12,sim,6,4,113,4K,OLED,não,0,500,jogos_intermediarios
dell,2016,10,14,12,sim,4,4,32,QUADHD,TN,não,0,250,jogos_intermediarios
xiaomi,2014,8,10,8,não,0,3,576,QUADHD,OLED,não,1000,250,premium
positivo,2016,6,12,2,não,0,1,195,HD,IPS,não,500,0,entrada
xiaomi,2023,4,8,16,não,0,2,507,FULLHD,OLED,não,0,500,premium
asus,2016,6,6,4,não,0,2,73,FULLHD,IPS,sim,0,250,2em1
asus,2013,6,6,12,não,0,2,515,FULLHD,VA,não,1000,500,ultraportatil
samsung,2015,10,12,12,não,0,2,508,FULLHD,TN,não,0,2000,ultraportatil
huawei,2018,8,14,16,não,0,2,450,FULLHD,AMOLED,não,0,250,premium
lenovo,2013,4,7,12,sim,4,1,112,FULLHD,IPS,não,500,2000,jogos_intermediarios
dell,2014,4,5,32,não,0,3,502,FULLHD,OLED,não,250,500,ultraportatil
apple,2018,10,15,8,não,0,3,530,QUADHD,OLED,não,0,250,premium
apple,2013,4,7,16,não,0,3,458,4K,AMOLED,não,500,250,premium
lenovo,2022,8,13,8,não,0,3,401,HD,TN,não,1000,250,entrada
asus,2012,4,8,8,não,0,1,550,HD,TN,não,2000,0,entrada
positivo,2011,4,4,2,não,0,4,244,HD,TN,não,250,0,entrada
lenovo,2012,6,8,8,não,0,3,401,FULLHD,AMOLED,não,250,250,premium
razer,2020,6,10,8,não,0,2,411,FULLHD,AMOLED,não,0,2000,premium
positivo,2012,6,11,4,não,0,4,160,HD,TN,não,500,0,entrada
apple,2018,10,20,8,não,0,3,422,4K,AMOLED,não,0,250,premium
razer,2023,12,20,16,não,0,2,567,4K,OLED,não,0,2000,premium
positivo,2018,8,16,32,não,0,4,264,HD,TN,não,250,0,entrada
lenovo,2015,6,9,6,não,0,2,256,HD,TN,não,0,2000,entrada
positivo,2020,10,19,2,não,0,4,289,HD,TN,não,250,0,entrada
hp,2014,6,6,16,sim,4,4,197,QUADHD,VA,não,1000,500,jogos_intermediarios
samsung,2011,2,2,6,não,0,3,542,FULLHD,OLED,não,250,2000,ultraportatil
lenovo,2016,8,10,16,sim,6,2,56,FULLHD,OLED,não,0,2000,jogos_premium
samsung,2022,4,4,8,não,0,3,199,HD,IPS,não,0,1000,intermediario
asus,2010,6,11,12,não,0,2,590,FULLHD,IPS,não,250,1000,ultraportatil
positivo,2019,10,18,8,não,0,1,139,HD,TN,não,0,250,entrada
positivo,2010,4,8,16,não,0,1,281,HD,IPS,não,250,0,entrada
dell,2016,12,13,16,não,0,2,497,4K,AMOLED,não,0,500,premium
hp,2019,12,17,8,sim,2,4,109,FULLHD,IPS,não,0,250,jogos_entrada
dell,2014,10,12,8,não,0,3,174,HD,IPS,não,0,250,entrada
xiaomi,2021,6,9,8,não,0,2,579,QUADHD,OLED,não,0,500,premium
lenovo,2016,4,5,4,não,0,2,252,FULLHD,AMOLED,sim,0,500,2em1
razer,2019,6,8,32,sim,6,4,48,FULLHD,AMOLED,não,0,250,jogos_premium
samsung,2021,6,6,4,não,0,3,577,FULLHD,TN,não,0,250,ultraportatil
acer,2022,8,14,16,não,0,1,131,HD,IPS,não,500,2000,entrada
hp,2016,6,7,4,não,0,3,570,FULLHD,VA,não,0,250,ultraportatil
positivo,2018,10,20,6,não,0,4,277,HD,IPS,não,1000,0,entrada
xiaomi,2016,8,10,8,não,0,2,596,QUADHD,AMOLED,não,0,1000,premium
razer,2010,8,11,16,sim,6,2,161,QUADHD,OLED,não,0,500,jogos_premium
